,path,category
287,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_32,arrest
288,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_52,attack
289,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_9,blast
290,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_1,deliberate damage
291,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_6,firing
292,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_29,road accident
293,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_81,theft
294,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_19,arrest
295,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_98,attack
296,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_6,blast
297,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_46,deliberate damage
298,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_32,firing
299,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_40,road accident
300,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_15,theft
301,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_7,arrest
302,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_56,attack
303,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_7,blast
304,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_52,deliberate damage
305,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_3,firing
306,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_15,road accident
307,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_8,theft
308,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_13,arrest
309,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_76,attack
310,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_3,blast
311,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_33,deliberate damage
312,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_6,firing
313,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_62,road accident
314,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_231,theft
315,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_23,arrest
316,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_3,attack
317,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_7,blast
318,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_29,deliberate damage
319,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_27,firing
320,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_71,road accident
321,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_119,theft
322,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_25,arrest
323,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_37,attack
324,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_16,blast
325,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_10,deliberate damage
326,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_30,firing
327,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_87,road accident
328,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_113,theft
329,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_11,arrest
330,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_34,attack
331,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_1,blast
332,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_20,deliberate damage
333,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_9,firing
334,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_5,road accident
335,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_67,theft
336,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_15,arrest
337,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_53,attack
338,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_4,blast
339,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_2,deliberate damage
340,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_12,firing
341,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_89,road accident
342,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_212,theft
343,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\arrest\video_14,arrest
344,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\attack\video_80,attack
345,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\blast\video_14,blast
346,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\deliberate damage\video_57,deliberate damage
347,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\firing\video_28,firing
348,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\road accident\video_97,road accident
349,C:\Development\Code\JupyterProjects\MLBuzz22\Crime Dataset\train\theft\video_176,theft
